Rounds;Count
6,235
7,395
8,465
9,476
10,503
11,496
12,513
13,460
14,490
15,479
16,515
17,474
18,507
19,482
20,509
21,470
22,500
23,497
24,474
25,463
26,495
27,457
28,500
29,457
30,464
31,490
32,481
33,476
34,466
35,491
36,482
37,464
38,494
39,451
40,444
41,443
42,509
43,470
44,497
45,483
46,473
47,478
48,461
49,453
50,459
51,492
52,490
53,464
54,493
55,459
56,498
57,444
58,439
59,477
60,452
61,512
62,449
63,462
64,434
65,501
66,452
67,508
68,459
69,481
70,472
71,479
72,463
73,489
74,439
75,470
76,475
77,477
78,492
79,484
80,481
81,444
82,460
83,459
84,455
85,449
86,458
87,479
88,479
89,467
90,455
91,480
92,509
93,466
94,448
95,460
96,470
97,428
98,429
99,467
100,442
101,446
102,474
103,441
104,434
105,470
106,465
107,474
108,467
109,473
110,438
111,436
112,486
113,472
114,442
115,415
116,503
117,468
118,427
119,455
120,469
121,439
122,460
123,474
124,461
125,457
126,405
127,460
128,432
129,447
130,447
131,423
132,430
133,549
134,456
135,428
136,490
137,441
138,447
139,455
140,480
141,461
142,425
143,431
144,465
145,427
146,478
147,468
148,453
149,465
150,455
151,465
152,486
153,467
154,471
155,479
156,466
157,428
158,451
159,460
160,421
161,451
162,467
163,444
164,430
165,444
166,430
167,448
168,453
169,409
170,406
171,434
172,385
173,437
174,478
175,466
176,451
177,443
178,449
179,423
180,417
181,456
182,448
183,439
184,426
185,461
186,437
187,432
188,449
189,447
190,434
191,413
192,404
193,409
194,486
195,438
196,452
197,425
198,455
199,450
200,435
201,430
202,421
203,449
204,423
205,470
206,444
207,403
208,443
209,419
210,447
211,426
212,457
213,448
214,471
215,443
216,446
217,426
218,439
219,455
220,475
221,415
222,442
223,431
224,409
225,434
226,458
227,458
228,474
229,431
230,429
231,417
232,423
233,431
234,444
235,415
236,448
237,402
238,403
239,447
240,452
241,412
242,437
243,452
244,417
245,450
246,436
247,425
248,440
249,442
250,439
251,429
252,438
253,463
254,431
255,430
256,422
257,434
258,445
259,421
260,442
261,448
262,420
263,428
264,435
265,420
